Наименование,Брой на студентите в колежи и университети на 1000 души,,,,,,,,,,,,,"Нетен коефициент на записване на населението V-VII, %",,,,,,,"Дял на  оценките на ДЗИ по български език и литература под среден 3,00, %",,,,,,,,,,,,,,"Среден успех на ДЗИ по български език и литература, /6",,,,,,,,,,,,,,"Среден успех на НВО след 7 клас по математика, в точки/100",,,,,,,,"Индекс на съответствието между ПОО и заетостта, в точки/100",,,,Дял на децата в детските градини (Групов нетен коефициент на записване),,,,,,,,,,,,
Сливен,3.9,4.2,4.6,4.7,4.9,5.0,5.1,6.6,8.5,8.4,8.5,8.7,8.9,85.7,84.9,86.4,85.3,82.1,78.7,77.3,6.5,7.0,9.0,5.9,6.9,7.2,5.0,8.5,10.5,8.0,23.1,23.0,11.5,16.0,4.17,4.15,4.19,4.18,4.15,4.24,3.96,4.04,4.16,4.08,3.79,3.65,4.12,3.97,24.0,25.8,29.3,27.5,25.8,25.3,31.7,31.9,68.8,61.9,62.4,54.0,66.1,70.6,70.4,68.2,65.8,63.6,64.8,64.4,64.1,65.2,71.7,74.8,72.7
Смолян,19.8,18.5,16.1,15.6,14.3,13.8,12.9,14.0,14.0,14.3,13.9,9.6,11.0,91.6,90.9,90.8,91.8,95.7,94.6,94.5,5.6,3.9,3.4,2.5,6.5,3.4,3.0,4.2,3.2,2.4,9.6,7.2,4.1,8.0,4.22,4.37,4.42,4.37,4.26,4.42,4.33,4.19,4.53,4.44,4.12,4.09,4.48,4.33,36.0,37.7,38.1,42.6,39.4,37.6,44.3,46.0,25.0,37.5,34.8,46.8,90.9,91.7,93.0,92.2,92.5,90.5,87.5,87.2,84.9,85.3,95.0,96.8,98.7
София,24.9,23.4,20.7,17.9,14.2,11.2,8.9,8.3,6.8,6.5,5.6,5.0,4.9,91.3,91.6,89.8,90.0,87.6,87.2,87.2,2.1,2.2,5.0,10.7,16.0,11.3,9.0,12.0,10.2,10.9,20.9,21.2,8.3,12.0,4.54,4.44,4.25,4.09,3.90,4.03,3.72,3.92,4.00,3.99,3.77,3.58,4.15,4.09,25.4,28.4,31.0,31.8,29.6,28.3,35.1,35.7,55.4,54.0,46.5,49.1,78.5,81.3,81.3,83.4,81.0,83.0,84.2,85.6,82.6,86.6,85.9,88.0,89.6
София (столица),85.6,85.7,82.8,80.0,76.8,73.9,73.4,71.4,71.1,71.6,73.2,61.9,66.0,89.4,89.4,88.8,89.1,93.4,92.7,92.3,3.7,2.2,1.9,1.8,2.1,2.0,1.5,2.6,2.4,1.8,6.8,7.9,3.7,5.0,4.32,4.55,4.60,4.63,4.58,4.61,4.45,4.53,4.63,4.58,4.42,4.24,4.65,4.58,37.6,44.6,48.1,50.1,47.3,46.6,54.7,54.9,69.5,67.3,59.4,56.8,83.1,82.2,82.5,81.9,81.6,80.7,80.6,80.3,79.3,81.6,87.6,87.5,88.5
Стара Загора,14.8,15.1,15.5,16.4,16.0,16.2,16.1,16.2,17.4,18.0,19.0,19.8,20.8,92.9,91.4,91.4,89.6,90.9,91.5,91.4,3.9,4.0,3.8,5.8,8.7,8.3,5.7,9.7,7.9,8.3,16.1,17.1,7.9,12.0,4.22,4.27,4.26,4.19,4.16,4.15,4.01,4.06,4.18,4.12,3.96,3.83,4.31,4.13,28.0,30.9,31.8,33.9,31.9,33.7,39.4,38.9,42.8,39.3,39.4,41.7,82.3,83.9,84.0,79.2,79.0,76.9,76.9,78.7,78.3,79.0,86.9,87.1,89.1
Търговище,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.4,76.8,75.7,74.4,85.0,83.9,84.6,7.6,4.5,6.9,4.4,7.2,5.5,3.2,7.2,10.3,8.0,23.1,21.5,10.0,14.0,4.00,4.10,3.99,4.06,3.98,4.02,3.96,3.88,3.85,3.96,3.63,3.58,4.02,3.96,33.1,31.9,35.2,34.5,30.2,31.3,41.4,40.5,60.3,52.7,55.9,53.7,79.9,79.3,77.7,70.7,68.4,68.4,67.8,68.1,66.7,67.4,85.9,85.6,85.9
Хасково,0.6,0.9,1.2,1.1,1.1,4.2,4.1,4.2,3.9,4.1,4.5,3.0,3.9,84.7,82.6,84.9,85.6,86.1,85.1,84.1,8.4,7.3,7.5,9.2,12.6,13.3,10.4,16.4,12.5,12.2,28.0,22.2,10.2,13.0,4.08,4.14,4.13,4.14,3.98,4.03,3.87,3.84,4.07,4.00,3.62,3.72,4.16,4.09,27.7,28.8,32.0,32.4,29.4,31.5,36.8,37.3,60.2,56.9,55.1,51.6,78.8,81.3,78.7,76.8,74.6,71.6,73.5,73.7,73.9,76.0,85.4,86.1,84.0
Шумен,42.2,41.5,41.6,39.1,34.9,36.0,35.6,38.1,37.9,40.4,44.6,41.8,42.9,83.6,83.1,82.4,79.6,90.3,88.9,88.6,8.9,8.1,8.9,6.7,9.8,8.5,6.4,12.5,10.5,9.5,27.2,30.6,17.7,21.0,4.00,3.99,4.06,4.05,3.95,4.10,3.77,3.85,3.96,3.98,3.58,3.43,3.84,3.84,26.2,24.5,29.6,30.4,27.0,26.2,35.2,33.1,43.4,46.8,55.7,42.8,83.5,84.0,82.1,78.9,77.1,76.9,77.9,77.9,78.2,75.9,88.7,90.8,92.1
Ямбол,5.7,6.5,6.9,6.4,6.4,6.3,6.7,6.7,6.5,5.8,6.7,6.3,7.2,90.6,87.0,89.8,89.1,90.0,89.3,88.8,10.6,8.5,10.0,15.6,16.8,20.2,15.7,18.2,13.0,13.3,21.0,16.2,7.1,13.0,4.06,4.16,4.10,3.98,3.87,3.87,3.55,3.80,4.04,3.94,3.79,3.79,4.25,4.05,29.0,29.4,31.2,35.0,30.7,30.8,40.4,42.2,54.6,56.5,58.9,62.0,75.9,80.6,80.9,77.9,75.4,73.3,74.0,75.0,76.8,77.3,85.4,86.4,86.5
България,38.1,38.2,37.7,36.2,34.1,32.5,31.7,31.7,31.7,32.1,33.2,29.6,31.6,87.4,86.6,86.5,85.9,90.7,89.9,89.6,5.5,4.9,4.8,6.4,8.7,8.0,5.9,8.7,8.2,7.0,17.0,17.9,8.7,11.4,4.18,4.26,4.32,4.21,4.17,4.22,4.24,4.06,4.20,4.21,3.97,3.93,4.30,4.27,30.4,34.0,36.3,37.9,35.3,35.3,42.9,42.7,54.8,53.6,53.1,52.8,82.1,83.6,82.9,81.0,79.4,78.4,78.4,78.7,78.1,79.1,87.3,87.9,88.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Източник: НСИ,,,,,,,Източник: НСИ,,,,,,,,,,,,,,Източник: ЦКОКО,,,,,,,,,,,,,,Източник: ЦКОКО,,,,,,,,Източник: МОН,,,,Източник: ИПИ,,,,,,,,,,,,,,
