Наименование,Относителен дял на населениeто на възраст между 25 и 64 навършени години с висше образование (%),,,,,,,,,,,,,Относителен дял на населението на възраст между 25 и 64 навършени години с основно и по-ниско образование (%),,,,,,,,,,,,,"Средногодишен коефициент на безработица, %",,,,,,,,,,,,,"Средногодишен коефициент на заетост на населението на 20-64 години, %",,,,,,,,,,,,,,,"Дял на населението в трудоспособна възраст,%",,,,,,,,,,,,
София,15,14.4,15.8,16.8,13.8,13.1,13.6,12,11.3,12.4,14.2,16.6,15.5,16.3,18.4,22,21.9,24,19.9,12.3,10.9,13.6,14.2,14.4,11.7,8.4,13.5,13.3,13.3,12.3,10.4,8.1,6.7,5.9,7.5,5.5,4.9,4.9,4.5,68.9,64.6,64.0,64.7,64.1,63.5,62.5,71.1,77.6,82.8,84.7,81.4,81.1,78.4,79.2,59.8,59.7,59.3,59.2,59.0,58.7,58.4,58.3,59.1,59.2,58.2,58.2,58.1
София (столица),42.9,45.8,48.6,49.6,51.4,50.8,51.4,52.8,56.8,57.7,57.6,54.1,54.5,4.7,3.3,3.1,3.1,3,3,4.2,4.9,3.9,4.2,4,4.7,3.5,3.6,3.6,3.2,2.9,2.5,2.2,1.9,1.8,3.3,2.0,1.6,1.6,1.7,73.9,71.6,70.8,71.4,73.0,75.8,76.8,79.1,80.0,81.0,78.7,79.8,83.8,82.4,81.1,66.0,65.9,65.4,65.0,64.8,64.4,64.3,64.1,64.0,64.4,62.9,63.0,63.2
Стара Загора,20.5,19.5,21.8,22.6,18.6,17.8,19,20.7,21.6,22,22,23.0,27.6,15.7,15.5,18.3,17.6,14.9,14.9,18,18.7,16.4,15.8,17.1,14.1,12.8,10.2,10.2,10.1,8.6,7,5.5,4.5,4.2,6.2,4.4,4.3,4.1,4.3,68.6,66.4,66.8,62.4,62.9,64.2,65.1,74.7,75.9,80.1,79.6,78.0,79.7,79.0,77.3,60.2,60.0,59.4,59.1,59.0,58.6,58.3,58.1,58.2,58.4,57.0,57.0,57
Търговище,17.9,16.7,17.3,15,18.1,19.8,16.8,16.8,15.8,17.1,21.3,21.0,24.9,34.1,37,39.3,35.7,35.7,33.6,33.7,36,38.3,32.2,30.3,27,24.2,19.3,19.7,19.1,17.2,15.3,13.5,10.8,10.5,11.2,8.3,8.7,9.5,9.9,59.9,63.7,58.9,53.2,56.0,55.7,56.7,64.1,67.1,64.7,61.9,60.5,67.4,68.9,72.2,60.6,60.7,60.1,59.9,59.7,59.4,59.2,59.1,59.2,59.5,57.4,57.1,56.8
Хасково,18.5,20.3,19.3,18.7,17.2,17.3,20.1,20.2,17.8,18.5,18.6,18.6,19.5,25.5,23,23.6,22.6,22.7,20,21,24,25.8,19.9,20.1,21,20.9,12,13,12.7,11.3,9.9,7.9,6.6,6.1,7.7,5.7,6.4,6.7,6.6,66.1,58.1,58.2,61.6,65.9,67.9,69.2,68.9,70.3,74.4,72.1,71.3,73.7,72.7,73.4,60.4,60.3,59.7,59.3,59.0,58.6,58.3,57.9,57.9,58.1,56.3,56.3,56.3
Шумен,20.7,21.3,24.2,24,21.9,22.6,24,23.7,24.6,24.2,24.8,29.2,32.0,30.3,29.3,28.7,29.4,29.7,29.6,28.9,29.5,27.1,27.8,26.8,23.5,22.3,17.8,17.5,18.2,16.8,14.5,12.4,10.4,9.1,11.0,9.2,9.4,10.1,10.6,55.9,57.6,58.8,59.1,62.8,62.9,65.4,66.9,68.3,71.1,71.9,69.9,71.3,76.4,74.0,62.0,61.9,61.2,61.0,60.7,60.5,60.2,60.0,60.0,60.0,57.8,57.7,57.6
Ямбол,22.4,24.2,23.7,29,26,22,21,19.8,23.5,23,19.7,20.0,23.6,17.9,16.4,15.6,14.8,13.4,18.2,23.4,23.3,21.3,20.6,21.8,18.6,16.3,15.1,15.9,14.7,12.9,10.8,8.3,6.4,5.7,7.0,5.5,5.4,5.1,5.4,61.9,64.1,65.2,63.7,62.1,66.2,71.1,72.1,67.1,69.8,68.8,67.3,73.7,74.8,78.2,58.3,58.1,57.5,57.2,57.1,56.6,56.2,56.0,56.1,56.1,54.2,54.1,53.8
България,24,25.6,27,27.5,27.7,27.8,28.2,28,29.2,29.6,29.8,30.5,33.8,19,18.2,18.9,18.1,17.7,17.2,17.4,17.6,16.9,16.6,16,14.8,13.1,11.1,11.3,11.2,10.1,8.7,7.2,6.2,5.6,7.4,5.1,5.2,5.3,5.5,64.7,62.9,63.0,63.5,65.1,67.1,67.7,71.3,72.4,75.0,73.4,73.2,75.9,76.2,76.8,61.8,61.7,61.1,60.8,60.6,60.3,60.0,59.8,59.8,60.1,58.5,58.5,58.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Източник: НСИ,,,,,,,,,,,,,Източник: НСИ,,,,,,,,,,,,Източник: АЗ,,,,,,,,,,,,,,,,Източник: НСИ,,,,,,,,,,,,,Източник: НСИ,
